img_idx,img_name,mean_accuracy
30,00030_candlestick/candlestick_04s.jpg,0.021250000689178705
185,00185_tongs/tongs_12s.jpg,0.02125000050291419
99,00099_ice_pack/ice_pack_01b.jpg,0.02125000050291419
22,00022_bread/bread_19s.jpg,0.02125000050291419
21,00021_brace/brace_08s.jpg,0.021250000409781932
195,00195_walnut/walnut_02s.jpg,0.021250000316649677
84,00084_golf_cart/golf_cart_06s.jpg,0.021250000316649677
183,00183_tick/tick_06s.jpg,0.021250000316649677
70,00070_eel/eel_02s.jpg,0.020000000577419998
52,00052_coverall/coverall_06s.jpg,0.020000000298023225
139,00139_pocketknife/pocketknife_01b.jpg,0.018750000558793545
23,00023_breadbox/breadbox_01b.jpg,0.018750000558793545
82,00082_garlic/garlic_12n.jpg,0.018750000558793545
85,00085_gondola/gondola_11s.jpg,0.017500000447034834
146,00146_purse/purse_06s.jpg,0.01750000035390258
200,00200_wok/wok_12s.jpg,0.01750000026077032
107,00107_lampshade/lampshade_05s.jpg,0.01625000052154064
59,00059_cruise_ship/cruise_ship_03s.jpg,0.016250000335276127
100,00100_jeep/jeep_05s.jpg,0.016250000335276127
164,00164_skateboard/skateboard_01b.jpg,0.016250000335276127
43,00043_cleat/cleat_09s.jpg,0.016250000335276127
68,00068_duffel_bag/duffel_bag_03s.jpg,0.016250000335276127
131,00131_pear/pear_01b.jpg,0.016250000335276127
141,00141_popsicle/popsicle_04s.jpg,0.016250000335276127
143,00143_pretzel/pretzel_01b.jpg,0.016250000242143868
122,00122_okra/okra_14n.jpg,0.016250000242143868
67,00067_drum/drum_01b.jpg,0.015000000409781934
86,00086_goose/goose_02s.jpg,0.015000000409781934
51,00051_cordon_bleu/cordon_bleu_08s.jpg,0.015000000316649675
126,00126_orchid/orchid_05s.jpg,0.015000000223517418
62,00062_dagger/dagger_06s.jpg,0.01500000013038516
179,00179_taillight/taillight_08s.jpg,0.01500000013038516
91,00091_hamburger/hamburger_01s.jpg,0.013750000298023224
103,00103_kettle/kettle_03n.jpg,0.013750000204890967
38,00038_cheese/cheese_06s.jpg,0.013750000204890967
144,00144_pug/pug_09s.jpg,0.013750000204890967
46,00046_cobra/cobra_01b.jpg,0.012500000465661288
7,00007_basil/basil_05s.jpg,0.012500000279396772
178,00178_table/table_07s.jpg,0.012500000279396772
166,00166_sleeping_bag/sleeping_bag_01b.jpg,0.012500000279396772
170,00170_spatula/spatula_08s.jpg,0.012500000186264515
78,00078_fork/fork_07s.jpg,0.012500000093132258
27,00027_bun/bun_01b.jpg,0.011250000260770322
34,00034_caterpillar/caterpillar_03s.jpg,0.011250000260770322
89,00089_grasshopper/grasshopper_06s.jpg,0.011250000260770322
92,00092_hammer/hammer_08s.jpg,0.011250000260770322
108,00108_laundry_basket/laundry_basket_12s.jpg,0.011250000260770322
57,00057_croissant/croissant_06s.jpg,0.011250000167638063
16,00016_blowtorch/blowtorch_08s.jpg,0.011250000074505806
149,00149_recorder/recorder_14s.jpg,0.01000000024214387
197,00197_wheelchair/wheelchair_02s.jpg,0.010000000149011612
61,00061_cupcake/cupcake_11s.jpg,0.00875000013038516
15,00015_birthday_cake/birthday_cake_01b.jpg,0.00875000013038516
47,00047_coconut/coconut_01b.jpg,0.00875000013038516
80,00080_french_horn/french_horn_03s.jpg,0.00875000013038516
36,00036_chain/chain_01b.jpg,0.007500000111758709
124,00124_onion/onion_10s.jpg,0.007500000111758709
5,00005_banana/banana_09s.jpg,0.007500000111758709
97,00097_hummingbird/hummingbird_01b.jpg,0.0062500000931322575
190,00190_turkey/turkey_01s.jpg,0.0062500000931322575
20,00020_bottle_opener/bottle_opener_13s.jpg,0.0062500000931322575
112,00112_marijuana/marijuana_13s.jpg,0.005000000167638063
193,00193_volleyball/volleyball_10s.jpg,0.005000000074505806
24,00024_bug/bug_08s.jpg,0.005000000074505806
136,00136_pigeon/pigeon_05s.jpg,0.005000000074505806
154,00154_sailboat/sailboat_05s.jpg,0.005000000074505806
159,00159_scallop/scallop_02s.jpg,0.005000000074505806
160,00160_scooter/scooter_07s.jpg,0.005000000074505806
130,00130_paperweight/paperweight_07s.jpg,0.0012500000186264515
